Route ID,Stop,Departure Time
9,Karsaz,"Bus 9: 10:22:09, Bus 20: 15:22:09, Bus 31: 19:22:09"
11,Bahria University,"Bus 11: 10:33:20, Bus 22: 16:03:20, Bus 33: 19:33:20"
1,Metropole,"Bus 1: 07:48:39, Bus 12: 11:18:39, Bus 23: 16:48:39, Bus 34: 20:03:39"
2,Landhi Road,"Bus 2: 08:39:07, Bus 13: 12:09:07, Bus 24: 17:39:07, Bus 35: 20:39:07"
3,Karsaz,"Bus 3: 08:43:55, Bus 14: 12:13:55, Bus 25: 17:43:55, Bus 36: 20:28:55"
4,Numaish,"Bus 4: 09:09:25, Bus 15: 12:54:25, Bus 26: 18:09:25, Bus 37: 20:54:25"
5,Quaidabad,"Bus 5: 09:53:39, Bus 16: 13:53:39, Bus 27: 18:53:39, Bus 38: 21:53:39"
6,3 Talwar,"Bus 6: 09:15:21, Bus 17: 13:30:21, Bus 28: 18:15:21, Bus 39: 21:30:21"
7,Kea­mari,"Bus 7: 10:04:45, Bus 18: 14:34:45, Bus 29: 19:04:45"
8,Babar Market,"Bus 8: 09:53:30, Bus 19: 14:38:30, Bus 30: 18:53:30"
9,Nursery,"Bus 9: 10:30:54, Bus 20: 15:30:54, Bus 31: 19:30:54"
11,National Stadium,"Bus 11: 10:35:47, Bus 22: 16:05:47, Bus 33: 19:35:47"
1,Fawwara Chowk,"Bus 1: 07:50:55, Bus 12: 11:20:55, Bus 23: 16:50:55, Bus 34: 20:05:55"
3,Nursery,"Bus 3: 09:01:04, Bus 14: 12:31:04, Bus 25: 18:01:04, Bus 36: 20:46:04"
4,Mobile Market,"Bus 4: 09:16:15, Bus 15: 13:01:15, Bus 26: 18:16:15, Bus 37: 21:01:15"
5,Murghi Khana,"Bus 5: 09:59:15, Bus 16: 13:59:15, Bus 27: 18:59:15, Bus 38: 21:59:15"
6,Ocean Mall,"Bus 6: 09:16:35, Bus 17: 13:31:35, Bus 28: 18:16:35, Bus 39: 21:31:35"
7,Lyari,"Bus 7: 10:15:15, Bus 18: 14:45:15, Bus 29: 19:15:15"
8,Landhi Road,"Bus 8: 10:00:19, Bus 19: 14:45:19, Bus 30: 19:00:19"
9,FTC,"Bus 9: 10:35:16, Bus 20: 15:35:16, Bus 31: 19:35:16"
11,Aga Khan Hospital,"Bus 11: 10:37:53, Bus 22: 16:07:53, Bus 33: 19:37:53"
1,Arts Council,"Bus 1: 07:59:40, Bus 12: 11:29:40, Bus 23: 16:59:40, Bus 34: 20:14:40"
3,FTC,"Bus 3: 09:10:00, Bus 14: 12:40:00, Bus 25: 18:10:00, Bus 36: 20:55:00"
4,Urdu Bazar,"Bus 4: 09:28:30, Bus 15: 13:13:30, Bus 26: 18:28:30, Bus 37: 21:13:30"
5,Prince Aly Boys School,"Bus 5: 10:03:16, Bus 16: 14:03:16, Bus 27: 19:03:16"
6,2 Talwar,"Bus 6: 09:19:33, Bus 17: 13:34:33, Bus 28: 18:19:33, Bus 39: 21:34:33"
8,Nasir Jump,"Bus 8: 10:00:36, Bus 19: 14:45:36, Bus 30: 19:00:36"
9,Korangi Road,"Bus 9: 10:37:33, Bus 20: 15:37:33, Bus 31: 19:37:33"
11,Liaquat National Hospital,"Bus 11: 10:40:41, Bus 22: 16:10:41, Bus 33: 19:40:41"
1,Shaheen Complex,"Bus 1: 08:07:54, Bus 12: 11:37:54, Bus 23: 17:07:54, Bus 34: 20:22:54"
3,Korangi Road,"Bus 3: 09:14:12, Bus 14: 12:44:12, Bus 25: 18:14:12, Bus 36: 20:59:12"
4,Civil Hospital,"Bus 4: 09:42:30, Bus 15: 13:27:30, Bus 26: 18:42:30, Bus 37: 21:27:30"
5,Nadra Center Malir,"Bus 5: 10:06:57, Bus 16: 14:06:57, Bus 27: 19:06:57"
6,Abdullah Shah Ghazi Mazar,"Bus 6: 09:20:21, Bus 17: 13:35:21, Bus 28: 18:20:21, Bus 39: 21:35:21"
8,Indus Hospital,"Bus 8: 10:12:51, Bus 19: 14:57:51, Bus 30: 19:12:51"
9,DHA Phase 1,"Bus 9: 10:41:03, Bus 20: 15:41:03, Bus 31: 19:41:03"
11,PIB Colony,"Bus 11: 10:44:11, Bus 22: 16:14:11, Bus 33: 19:44:11"
1,Tower,"Bus 1: 08:08:25, Bus 12: 11:38:25, Bus 23: 17:08:25, Bus 34: 20:23:25"
3,KPT Interchange,"Bus 3: 09:18:03, Bus 14: 12:48:03, Bus 25: 18:18:03, Bus 36: 21:03:03"
4,City Court,"Bus 4: 09:45:39, Bus 15: 13:30:39, Bus 26: 18:45:39, Bus 37: 21:30:39"
5,Malir Session Court,"Bus 5: 10:07:54, Bus 16: 14:07:54, Bus 27: 19:07:54"
6,Dolmen Mall Cilfton,"Bus 6: 09:23:30, Bus 17: 13:38:30, Bus 28: 18:23:30, Bus 39: 21:38:30"
8,Korangi Crossing,"Bus 8: 10:16:00, Bus 19: 15:01:00, Bus 30: 19:16:00"
9,Masjid e Ayesha,"Bus 9: 10:44:43, Bus 20: 15:44:43, Bus 31: 19:44:43"
11,Jail Chowrangi,"Bus 11: 10:48:12, Bus 22: 16:18:12, Bus 33: 19:48:12"
1,Fisheries,"Bus 1: 08:12:16, Bus 12: 11:42:16, Bus 23: 17:12:16, Bus 34: 20:27:16"
3,Shan Chowrangi,"Bus 3: 09:25:03, Bus 14: 12:55:03, Bus 25: 18:25:03, Bus 36: 21:10:03"
4,Light House,"Bus 4: 09:47:55, Bus 15: 13:32:55, Bus 26: 18:47:55, Bus 37: 21:32:55"
5,Malir 15,"Bus 5: 10:09:39, Bus 16: 14:09:39, Bus 27: 19:09:39"
6,Seaview Clock Tower,"Bus 6: 09:29:27, Bus 17: 13:44:27, Bus 28: 18:29:27, Bus 39: 21:44:27"
8,Qayyumabad,"Bus 8: 10:19:51, Bus 19: 15:04:51, Bus 30: 19:19:51"
9,Clock Tower DHA,"Bus 9: 10:58:43, Bus 20: 15:58:43, Bus 31: 19:58:43"
11,Dawood Engineering University,"Bus 11: 10:52:03, Bus 22: 16:22:03, Bus 33: 19:52:03"
1,Dockyard,"Bus 1: 08:18:24, Bus 12: 11:48:24, Bus 23: 17:18:24, Bus 34: 20:33:24"
4,Bolton Market,"Bus 4: 09:49:09, Bus 15: 13:34:09, Bus 26: 18:49:09, Bus 37: 21:34:09"
5,Kalaboard,"Bus 5: 10:13:20, Bus 16: 14:13:20, Bus 27: 19:13:20"
6,Khayaban e Ittehad,"Bus 6: 09:34:42, Bus 17: 13:49:42, Bus 28: 18:34:42, Bus 39: 21:49:42"
8,Defence Mor,"Bus 8: 10:26:09, Bus 19: 15:11:09, Bus 30: 19:26:09"
9,Dolmen Mall Clifton,"Bus 9: 11:07:28, Bus 20: 16:07:28, Bus 31: 20:07:28"
11,Islamia College,"Bus 11: 11:00:48, Bus 22: 16:30:48, Bus 33: 20:00:48"
4,Tower,"Bus 4: 09:51:15, Bus 15: 13:36:15, Bus 26: 18:51:15, Bus 37: 21:36:15"
5,Malir Halt,"Bus 5: 10:16:18, Bus 16: 14:16:18, Bus 27: 19:16:18"
6,DHA Phase 7,"Bus 6: 09:41:10, Bus 17: 13:56:10, Bus 28: 18:41:10, Bus 39: 21:56:10"
8,National Medical Center,"Bus 8: 10:30:00, Bus 19: 15:15:00, Bus 30: 19:30:00"
11,Numaish,"Bus 11: 11:06:56, Bus 22: 16:36:56, Bus 33: 20:06:56"
5,Colony Gate,"Bus 5: 10:18:14, Bus 16: 14:18:14, Bus 27: 19:18:14"
6,DHA Phase 6,"Bus 6: 09:44:40, Bus 17: 13:59:40, Bus 28: 18:44:40, Bus 39: 21:59:40"
8,Gora Qabristan,"Bus 8: 10:33:19, Bus 19: 15:18:19, Bus 30: 19:33:19"
5,Nata Khan Bridge,"Bus 5: 10:24:21, Bus 16: 14:24:21, Bus 27: 19:24:21"
6,DHA Phase 2,"Bus 6: 09:47:49, Bus 17: 14:02:49, Bus 28: 18:47:49"
8,FTC,"Bus 8: 10:35:46, Bus 19: 15:20:46, Bus 30: 19:35:46"
5,Drigh Road Station,"Bus 5: 10:31:21, Bus 16: 14:31:21, Bus 27: 19:31:21"
6,KPT Interchange,"Bus 6: 09:53:04, Bus 17: 14:08:04, Bus 28: 18:53:04"
8,Jutt Land,"Bus 8: 10:36:55, Bus 19: 15:21:55, Bus 30: 19:36:55"
5,PAF Base Faisal,"Bus 5: 10:34:51, Bus 16: 14:34:51, Bus 27: 19:34:51"
6,Korangi Crossing,"Bus 6: 09:57:58, Bus 17: 14:12:58, Bus 28: 18:57:58"
8,Lines Area,"Bus 8: 10:42:52, Bus 19: 15:27:52, Bus 30: 19:42:52"
5,Laal Kothi,"Bus 5: 10:44:29, Bus 16: 14:44:29, Bus 27: 19:44:29"
6,Indus Hospital,"Bus 6: 10:02:42, Bus 17: 14:17:42, Bus 28: 19:02:42"
8,Army Public School,"Bus 8: 10:43:28, Bus 19: 15:28:28, Bus 30: 19:43:28"
5,I.I.Chundrigar,"Bus 5: 10:49:54, Bus 16: 14:49:54, Bus 27: 19:49:54"
6,CBM University,"Bus 6: 10:03:24, Bus 17: 14:18:24, Bus 28: 19:03:24"
8,Lucky Star Saddar,"Bus 8: 10:52:24, Bus 19: 15:37:24, Bus 30: 19:52:24"
6,PARCO,"Bus 6: 10:05:30, Bus 17: 14:20:30, Bus 28: 19:05:30"
6,Ibrahim Hyderi,"Bus 6: 10:09:52, Bus 17: 14:24:52, Bus 28: 19:09:52"
